plot,sitetype,H,Hs,Hc,Hc^1.9186,0.0003*Hc^1.9186,0.0004*Hc^1.8636,Hc^1.8,0.0005*Hc^1.8,Hb,DBH,BA,Sum.of.Bi.L,Ab,Ac,Wb,Ws,Wba,Wf,Wab,DC,cr,Age,Wf
215,3,10.95,2.62,8.33,58.39148223,0.017517445,0.020786148,45.4109934,0.022705497,1.656969656,0.143,0.016060607,0.044084042,0.02660522,0.014626316,22.18824367,31.41416373,5.314858953,9.136635412,68.05390177,0.1365,0.760730594,30,4.568317706
215,3,9.3,3.85,5.45,25.87321094,0.007761963,0.00942776,21.15990454,0.010579952,1.517534097,0.1,0.007853982,0.020901923,0.01377361,0.005473216,10.7038494,12.13311318,3.836372739,2.984659936,29.65799525,0.0835,0.586021505,29,1.492329968
252,4,8.57,3.64,4.93,21.34499706,0.006403499,0.00782077,17.66543982,0.00883272,1.491534562,0.129,0.013069811,0.036623162,0.024554015,0.009071656,18.34236445,19.67146992,5.34698053,5.89214812,49.25296302,0.1075,0.575262544,27,2.94607406
252,4,6.94,3.22,3.72,12.43493972,0.003730482,0.004627259,10.64087378,0.005320437,1.305006588,0.098,0.007542964,0.022789474,0.01746311,0.006429346,9.19319965,8.542456921,2.543553292,2.859058351,23.13826821,0.0905,0.536023055,26,1.429529176
254,4,15.05,8.64,6.41,35.32139239,0.010596418,0.012756179,28.33638556,0.014168193,1.530602401,0.1535,0.018505748,0.051562153,0.03368749,0.0094985,19.81958505,60.60243384,7.991475085,6.669235198,95.08272917,0.11,0.425913621,66,3.334617599
254,4,15.06,9.51,5.55,26.79171517,0.008037515,0.009752689,21.86388677,0.010931943,1.722516666,0.1675,0.022035327,0.064615062,0.03751201,0.008087266,25.11431132,69.07926996,9.386547064,6.543166227,110.1232946,0.1015,0.368525896,83,3.271583114
257,3,13.83,6.83,7,41.82202907,0.012546609,0.01503089,33.20293476,0.016601467,1.439588896,0.137,0.014741138,0.028275664,0.019641485,0.007462406,10.45477846,44.60569479,8.248490795,3.48680713,66.79577118,0.0975,0.506146059,73,1.743403565
257,3,16.58,6.26,10.32,88.07362409,0.026422087,0.030985141,66.77646967,0.033388235,2.399914955,0.228,0.040828138,0.138744147,0.05781211,0.02774504,55.69064259,125.1961833,20.58558655,14.09212486,215.5645373,0.188,0.622436671,76,7.04606243
260,4,16.49,6.77,9.72,78.5120823,0.023553625,0.027712445,59.95139276,0.029975696,2.256428776,0.2155,0.036474087,0.143767288,0.063714525,0.026432716,60.87736553,120.834098,15.66757206,16.29997833,213.6790139,0.1835,0.58944815,76,8.149989165
261,4,6.95,2.3,4.65,19.07986227,0.005723959,0.007013347,15.900666,0.007950333,1.22263732,0.1075,0.009076258,0.0189689,0.01551474,0.006862666,7.869715837,10.3976417,3.245053371,3.466787259,24.97919817,0.0935,0.669064748,46,1.73339363
261,4,5.42,2.11,3.31,9.93898394,0.002981695,0.003722301,8.623635443,0.004311818,0.740696853,0.0565,0.002507187,0.003265407,0.00440856,0.002417996,1.441169583,2.933500738,0.88586693,0.748899681,6.009436931,0.0555,0.610701107,25,0.374449841
266,3,12.28,5.04,7.24,44.6163885,0.013384917,0.016005483,35.28006846,0.017640034,1.572885939,0.1545,0.018747651,0.033301511,0.021172235,0.012962116,18.72426379,38.88506216,7.708730526,7.690570589,73.00862706,0.1285,0.589576547,32,3.845285295
266,3,11.8,6.71,5.09,22.69387912,0.006808164,0.008300404,18.71078499,0.009355392,1.619714831,0.1715,0.023100327,0.040911016,0.02525816,0.010381625,19.0878134,37.77244786,7.995779576,5.14883067,70.0048715,0.115,0.431355932,35,2.574415335
266,3,13.48,6.58,6.9,40.68327117,0.012204981,0.014633195,32.35402847,0.016177014,1.815448291,0.151,0.017907864,0.065037092,0.03582426,0.012167696,26.68661252,50.33317661,6.989870841,9.104618683,93.11427865,0.1245,0.511869436,32,4.552309342
